participantId,familiarity_raw,evaluation_raw,university,familiarity_num,participant_mean_rating,evaluation_centered,heard_binary
0C2FBF0AC86342FE9EC2B6FBA2407A60,I have never heard of this university,50,Heidelberg University,0.0,56.35,-6.350000000000001,Never heard
3DD4464BB2A5434DA776B499B7D4BEE8,I have never heard of this university,50,Heidelberg University,0.0,62.95,-12.950000000000003,Never heard
CA98B80CF2DD496FA96DF87A76EE59D0,"I have heard of it, but I am not familiar with it",85,Heidelberg University,0.33,87.55,-2.549999999999997,Heard
4F9F4E86E246433F89623B433B1AB8B8,"I have heard of it, but I am not familiar with it",81,Heidelberg University,0.33,79.05,1.9500000000000028,Heard
204B41ECB5F84D2C8812CCA7C0ABD0ED,I have never heard of this university,49,Heidelberg University,0.0,51.7,-2.700000000000003,Never heard
1B7CB68BEA6643B4B5C93CAAC59B1B85,I have never heard of this university,4,Heidelberg University,0.0,11.2,-7.199999999999999,Never heard
DD2206E20B5F43EBB14E45E033A403E9,"I have heard of it, but I am not familiar with it",27,Heidelberg University,0.33,29.35,-2.3500000000000014,Heard
4262AFB86C594D08B28F0F91D674E4EB,I have never heard of this university,31,Heidelberg University,0.0,42.55,-11.549999999999997,Never heard
A55A273E95E740CF987A0746A8D05865,I am somewhat familiar with it,80,Heidelberg University,0.6,59.9,20.1,Heard
BA46C89FF6D74BBD8CBE20E7D403DFC1,I have never heard of this university,0,KTH Royal Institute of Technology,0.0,10.3,-10.3,Never heard
DDF654B04475461CAA83D9BFD3636F52,I have never heard of this university,73,KTH Royal Institute of Technology,0.0,43.85,29.15,Never heard
8C7EAE2BB6894644BB2220D74032427A,I have never heard of this university,51,KTH Royal Institute of Technology,0.0,71.15,-20.150000000000006,Never heard
0DD374C49EDD48B0A934A11EB3F114A0,I have never heard of this university,70,KTH Royal Institute of Technology,0.0,68.4,1.5999999999999943,Never heard
A53D15311E1A4E7BB8D9FDD5135514FC,I have never heard of this university,50,KTH Royal Institute of Technology,0.0,35.8,14.200000000000003,Never heard
08FA9BA3F2E34DE29AD38FC493DDA89A,I have never heard of this university,50,KTH Royal Institute of Technology,0.0,50.05,-0.04999999999999716,Never heard
68DC5E6A091E45CD956DF8AB911197F6,I have never heard of this university,79,KTH Royal Institute of Technology,0.0,53.45,25.549999999999997,Never heard
