1_Q3,1_Q4_1,3_Q3,3_Q4_1,5_Q3,5_Q4_1,7_Q3,7_Q4_1,9_Q3,9_Q4_1,11_Q3,11_Q4_1,13_Q3,13_Q4_1,15_Q3,15_Q4_1,17_Q3,17_Q4_1,19_Q3,19_Q4_1,21_Q3,21_Q4_1,23_Q3,23_Q4_1,25_Q3,25_Q4_1,27_Q3,27_Q4_1,29_Q3,29_Q4_1,31_Q3,31_Q4_1,33_Q3,33_Q4_1,35_Q3,35_Q4_1,37_Q3,37_Q4_1,39_Q3,39_Q4_1,Q6,Q6_4_TEXT,Q5,Q8,Q9,Q7,participantId
Lund University - Familiarity,"Lund University - Evaluation",Sorbonne University - Familiarity,Sorbonne University - Evaluation,Trinity College Dublin - Familiarity,Trinity College Dublin - Evaluation,The University of Western Australia - Familiarity,"The University of Western Australia - Evaluation",KTH Royal Institute of Technology - Familiarity,KTH Royal Institute of Technology - Evaluation,University of Glasgow - Familiarity,University of Glasgow - Evaluation,Heidelberg University - Familiarity,Heidelberg University - Evaluation,University of Adelaide - Familiarity,University of Adelaide - Evaluation,Universidad de Buenos Aires - Familiarity,Universidad de Buenos Aires - Evaluation,Tokyo Institute of Technology - Familiarity,Tokyo Institute of Technology - Evaluation,University of Leeds - Familiarity,University of Leeds - Evaluation,University of Southampton - Familiarity,University of Southampton - Evaluation,Osaka University - Familiarity,Osaka University - Evaluation,University of Sheffield - Familiarity,University of Sheffield - Evaluation,Uppsala University - Familiarity,Uppsala University - Evaluation,Durham University - Familiarity,Durham University - Evaluation,University of Alberta - Familiarity,University of Alberta - Evaluation,University of Nottingham - Familiarity,University of Nottingham - Evaluation,Karlsruhe Institute of Technology - Familiarity,Karlsruhe Institute of Technology - Evaluation,Politecnico di Milano - Familiarity,Politecnico di Milano - Evaluation,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,How old are you?,Choose one or more races that you consider yourself to be,What is the highest level of education you have completed?,What best describes your employment status over the last three months?,participantId
I have never heard of this university,55,I have never heard of this university,66,"I have heard of it, but I am not familiar with it",82,I have never heard of this university,70,I have never heard of this university,85,"I have heard of it, but I am not familiar with it",69,I am somewhat familiar with it,100,I have never heard of this university,35,"I have heard of it, but I am not familiar with it",85,"I have heard of it, but I am not familiar with it",93,I am somewhat familiar with it,76,"I have heard of it, but I am not familiar with it",48,I have never heard of this university,76,"I have heard of it, but I am not familiar with it",72,I have never heard of this university,35,I have never heard of this university,67,"I have heard of it, but I am not familiar with it",54,I have never heard of this university,40,I have never heard of this university,22,I have never heard of this university,38,Male,,45-54 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,2649AA17B0054500A9C624077A71F95E
I have never heard of this university,10,I have never heard of this university,30,I have never heard of this university,10,I have never heard of this university,90,I have never heard of this university,60,I have never heard of this university,60,I have never heard of this university,20,I have never heard of this university,30,I have never heard of this university,5,I have never heard of this university,90,I have never heard of this university,90,I have never heard of this university,80,I have never heard of this university,10,I have never heard of this university,40,I have never heard of this university,10,I have never heard of this university,70,I have never heard of this university,90,I have never heard of this university,90,I have never heard of this university,5,I have never heard of this university,1,Male,,25-34 years old,Black or African American,High school diploma or GED,Working full-time,086CA0EE50924484BA40BE283B35A167
I have never heard of this university,3,"I have heard of it, but I am not familiar with it",22,I am somewhat familiar with it,33,I have never heard of this university,1,I have never heard of this university,4,I have never heard of this university,12,I have never heard of this university,6,I have never heard of this university,13,I have never heard of this university,37,I have never heard of this university,3,I am very familiar with it,15,I have never heard of this university,8,I have never heard of this university,4,I have never heard of this university,7,I have never heard of this university,12,I have never heard of this university,15,I have never heard of this university,66,I have never heard of this university,13,I have never heard of this university,31,I have never heard of this university,4,Male,,45-54 years old,White or Caucasian,Bachelor’s degree,Working full-time,09A54B497E63405482AE17D913E2D5C2
I have never heard of this university,50,I am somewhat familiar with it,52,I have never heard of this university,52,I have never heard of this university,51,I have never heard of this university,51,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",51,I have never heard of this university,49,I have never heard of this university,7,I have never heard of this university,15,I have never heard of this university,49,I have never heard of this university,51,I have never heard of this university,51,I have never heard of this university,50,I have never heard of this university,50,I have never heard of this university,53,"I have heard of it, but I am not familiar with it",55,I have never heard of this university,51,I have never heard of this university,51,I have never heard of this university,11,Female,,45-54 years old,White or Caucasian,Bachelor’s degree,Working full-time,4068D798CA4F443EBDA0836A346C7FAA
I have never heard of this university,10,I have never heard of this university,11,I am somewhat familiar with it,29,I have never heard of this university,10,I have never heard of this university,10,I am somewhat familiar with it,10,I am somewhat familiar with it,10,I have never heard of this university,10,I am somewhat familiar with it,20,I have never heard of this university,10,I am somewhat familiar with it,10,I have never heard of this university,10,I am somewhat familiar with it,10,I have never heard of this university,11,"I have heard of it, but I am not familiar with it",30,"I have heard of it, but I am not familiar with it",10,I am somewhat familiar with it,30,I have never heard of this university,10,I have never heard of this university,10,I have never heard of this university,10,Female,,25-34 years old,White or Caucasian,Bachelor’s degree,Working part-time,EE5F963F39674CACA41B0DDC1595BFC0
"I have heard of it, but I am not familiar with it",14,"I have heard of it, but I am not familiar with it",31,"I have heard of it, but I am not familiar with it",22,I have never heard of this university,11,I have never heard of this university,36,"I have heard of it, but I am not familiar with it",24,"I have heard of it, but I am not familiar with it",11,I have never heard of this university,11,I have never heard of this university,11,I have never heard of this university,34,"I have heard of it, but I am not familiar with it",31,I have never heard of this university,12,I have never heard of this university,31,I have never heard of this university,11,I have never heard of this university,12,I have never heard of this university,12,"I have heard of it, but I am not familiar with it",34,I have never heard of this university,12,I have never heard of this university,12,I have never heard of this university,13,Female,,25-34 years old,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working part-time,9C9BF153F23143F28476E316F8F2010D
I am somewhat familiar with it,63,I am very familiar with it,81,I am very familiar with it,78,I am somewhat familiar with it,66,I am somewhat familiar with it,69,I am somewhat familiar with it,72,"I have heard of it, but I am not familiar with it",38,I am somewhat familiar with it,67,I am very familiar with it,73,I am somewhat familiar with it,73,"I have heard of it, but I am not familiar with it",71,I am somewhat familiar with it,59,I am somewhat familiar with it,82,I am somewhat familiar with it,80,I am somewhat familiar with it,68,I am somewhat familiar with it,72,I am very familiar with it,65,I am somewhat familiar with it,70,I am very familiar with it,74,I am somewhat familiar with it,81,Male,,35-44 years old,White or Caucasian,Bachelor’s degree,Working full-time,8BCB509032C148C7B1809382C5D2D30B
I have never heard of this university,75,I am somewhat familiar with it,87,"I have heard of it, but I am not familiar with it",81,I have never heard of this university,79,I have never heard of this university,90,I have never heard of this university,81,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,93,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,80,I have never heard of this university,91,I have never heard of this university,88,Female,,45-54 years old,White or Caucasian,Bachelor’s degree,Working full-time,C9A88F513C0D43FEAAB91ABE7D2A2DFB
"I have heard of it, but I am not familiar with it",77,I have never heard of this university,60,I have never heard of this university,63,I have never heard of this university,40,I have never heard of this university,90,"I have heard of it, but I am not familiar with it",80,I have never heard of this university,83,I have never heard of this university,69,I have never heard of this university,51,"I have heard of it, but I am not familiar with it",99,I have never heard of this university,54,"I have heard of it, but I am not familiar with it",72,"I have heard of it, but I am not familiar with it",95,"I have heard of it, but I am not familiar with it",88,I have never heard of this university,54,"I have heard of it, but I am not familiar with it",95,"I have heard of it, but I am not familiar with it",80,"I have heard of it, but I am not familiar with it",69,I have never heard of this university,28,I have never heard of this university,46,Female,,65+ years old,White or Caucasian,Associates or technical degree,Retired,43B38C5A971146D5A03772B7DE77B79F
I have never heard of this university,0,"I have heard of it, but I am not familiar with it",59,I have never heard of this university,0,I have never heard of this university,18,I have never heard of this university,20,I have never heard of this university,38,I have never heard of this university,0,I have never heard of this university,20,I have never heard of this university,0,I have never heard of this university,40,I have never heard of this university,30,I have never heard of this university,33,I have never heard of this university,44,I have never heard of this university,29,I have never heard of this university,0,I have never heard of this university,38,I have never heard of this university,50,I have never heard of this university,11,I have never heard of this university,0,I have never heard of this university,36,Male,,35-44 years old,White or Caucasian,"Some college, but no degree",Working full-time,BE40A747DDDC4C159920E7D896B0C43B
