,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
"C(hiringYearsCat, Treatment(reference='Missing'))[T.4–6 years]",-0.11035466791329872,0.13731074176364047,-0.8036856148025001,0.42292188080798365,-0.3817920517737924,0.16108271594719492
"C(hiringYearsCat, Treatment(reference='Missing'))[T.7+ years]",0.2117938805054018,0.13497650474633832,1.5691166466595543,0.11884644012894975,-0.05502915795757399,0.47861691896837755
"C(hiringYearsCat, Treatment(reference='Missing'))[T.Less than 1 year]",-0.22740586505801977,0.24954049372410855,-0.9112984496593937,0.36368255931402205,-0.7207002564052225,0.2658885262891829
C(employmentStatusCat)[T.Employed part-time],0.08158828211364286,0.20499825428454996,0.39799500926672965,0.6912315785874044,-0.32365452062898215,0.4868310848562678
C(employmentStatusCat)[T.Other],0.1271361316702022,0.4014622483401648,0.31668265744996754,0.7519494902221953,-0.6664788543720741,0.9207511177124785
C(employmentStatusCat)[T.Self-employed],-0.2973203930757738,0.2645802293036694,-1.123743802997945,0.26301789850706037,-0.8203454990577916,0.2257047129062441
C(employmentStatusCat)[T.Student],-0.3182353251863022,0.2474535986810578,-1.286040400634766,0.20052201715722837,-0.8074043194698709,0.17093366909726648
C(employmentStatusCat)[T.Unemployed],-0.20725730999710504,0.22236984264680734,-0.9320387491854922,0.35289847941276586,-0.6468404595908832,0.23232583959667316
C(employmentStatusCat)[T.nan],-2.4680763333189085e-16,2.1040070099582162e-16,-1.1730361741370445,0.24274525497661034,-6.627300521258043e-16,1.6911478546202265e-16
C(experimentFolder)[T.hiring-game-2025-12-17-20-39-38],-0.5893894952957,0.33306294365433203,-1.7696039338059635,0.07893955107709394,-1.2477919838790519,0.06901299328765209
C(experimentFolder)[T.hiring-game-2025-12-17-21-11-48],-0.3513376284865565,0.3557247443053173,-0.9876671052857785,0.3249956442691341,-1.0545382137320032,0.3518629567588901
C(experimentFolder)[T.hiring-game-2025-12-17-21-48-50],-0.17935999098654581,0.3221452769783541,-0.5567674083845021,0.578562785482097,-0.8161803160601449,0.4574603340870533
C(experimentFolder)[T.hiring-game-2025-12-17-23-09-45],-0.9521162763033812,0.33193127255307864,-2.868413900805715,0.00475517369668283,-1.6082816650126133,-0.2959508875941491
C(experimentFolder)[T.hiring-game-2025-12-18-17-16-13],-0.6064858235372368,0.3390019491878559,-1.7890334406341606,0.07574115171895238,-1.2766286035504293,0.06365695647595582
C(experimentFolder)[T.hiring-game-2025-12-26-19-21-45],-0.7729707980969647,0.35154981774957506,-2.1987518100424306,0.02951415308687761,-1.4679183426294635,-0.07802325356446582
C(experimentFolder)[T.hiring-game-2025-12-26-20-15-26],-0.5758341915928298,0.34887128860641403,-1.6505634324138045,0.10103783319062265,-1.2654867902683962,0.1138184070827365
C(experimentFolder)[T.hiring-game-2025-12-27-16-04-01],-0.6156802579756858,0.3534716447034123,-1.741809469589237,0.08370718707347982,-1.3144268911583654,0.08306637520699389
C(experimentFolder)[T.hiring-game-2025-12-27-16-59-12],-0.694281826378691,0.34473268715081734,-2.0139715560971716,0.04590141392295555,-1.3757531921986217,-0.012810460558760228
C(experimentFolder)[T.hiring-game-2025-12-27-19-04-37],-0.48407570978188036,0.3626046083092166,-1.334996022359091,0.18401399304368316,-1.2008764858248462,0.2327250662610854
C(experimentFolder)[T.hiring-game-2025-12-28-16-09-49],-0.5113045394372872,0.37388657166312017,-1.3675391901958531,0.173616945073728,-1.2504076246678686,0.22779854579329428
C(experimentFolder)[T.hiring-game-2025-12-28-16-51-33],-0.25798403081586685,0.35439885801021154,-0.7279482565613498,0.46784390487644945,-0.9585635894568582,0.44259552782512446
C(experimentFolder)[T.hiring-game-2025-12-28-17-32-51],-0.6445816266828321,0.3526770732799877,-1.8276822496230243,0.0696964457239208,-1.3417575423404697,0.05259428897480545
C(experimentFolder)[T.hiring-game-2025-12-28-18-06-15],-0.8197159477322059,0.3401484813826663,-2.409876840843594,0.017238272260589414,-1.492125205192639,-0.1473066902717729
C(experimentFolder)[T.hiring-game-2025-12-28-22-10-47],-0.7047378888008036,0.3565954289893464,-1.9762953518449566,0.050058985818740964,-1.4096596531016155,0.00018387550000831254
C(experimentFolder)[T.hiring-game-2025-12-29-17-59-52],-0.16065057652908057,0.34243578891507165,-0.46914073157500463,0.6396885480501214,-0.8375814086653626,0.5162802556072015
C(experimentFolder)[T.hiring-game-2025-12-29-20-23-52],-0.1305340111252819,0.3613128725367159,-0.3612769459577372,0.7184293844683427,-0.844781269692316,0.5837132474417521
C(experimentFolder)[T.hiring-game-2025-12-29-21-50-07-one],-0.9205515551385126,0.3543510995784051,-2.597851555233647,0.010369571892305795,-1.6210367043864709,-0.22006640589055437
C(experimentFolder)[T.hiring-game-2025-12-29-21-50-07-two],-0.17617948963772379,0.34515799444279127,-0.5104314327765771,0.6105417956848413,-0.8584916075880953,0.5061326283126477
hiringInvolvedFlag,-0.06659582103173264,0.11893684777397653,-0.5599258957853754,0.5764122004582379,-0.3017114892578485,0.16851984719438323
age,-0.011198064800077267,0.005389708623536673,-2.0776753591419954,0.039540066960190606,-0.02185250005949356,-0.0005436295406609729
hasFamiliarUniversity,-0.09655175603508843,0.11567806313155016,-0.8346591689151027,0.40531164296123023,-0.3252254229542155,0.13212191088403868
