id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01KCQ71RPA67MP0VENZ8TKVKC3,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.682324608Z,30,2025-12-17T22:31:48.682324608Z,true,2025-12-17T22:45:15.482864185Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.682324608Z,0,2025-12-17T22:31:48.682324608Z,true,2025-12-17T22:44:45.440918812Z,choice,2025-12-17T22:31:48.682324608Z,01KCQ71RC5DWN7H0TH4EP0E8AW,2025-12-17T22:31:48.682324608Z,true,2025-12-17T22:44:45.362953712Z,true,2025-12-17T22:44:45.468520166Z,,,01KCQ71RP7NZ1Q10GQCTK8WSJW,2025-12-17T22:31:48.682324608Z
01KCQ71RM29PRE5PPVZ72TPE2B,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.610326986Z,30,2025-12-17T22:31:48.610326986Z,true,2025-12-17T22:41:55.206117653Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.610326986Z,0,2025-12-17T22:31:48.610326986Z,true,2025-12-17T22:41:25.177405064Z,choice,2025-12-17T22:31:48.610326986Z,01KCQ71RC4QEMG23HN93ME25V1,2025-12-17T22:31:48.610326986Z,true,2025-12-17T22:41:25.12124689Z,true,2025-12-17T22:41:25.199881663Z,,,01KCQ71RKZ4YDVPS4X852F7NPD,2025-12-17T22:31:48.610326986Z
01KCQ71RMCZQ1XZ717YWR0WWJ7,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.620445741Z,30,2025-12-17T22:31:48.620445741Z,true,2025-12-17T22:42:25.437700837Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.620445741Z,0,2025-12-17T22:31:48.620445741Z,true,2025-12-17T22:41:55.417635952Z,choice,2025-12-17T22:31:48.620445741Z,01KCQ71RC0HJECGKAQPSBMSKAD,2025-12-17T22:31:48.620445741Z,true,2025-12-17T22:41:55.360738992Z,true,2025-12-17T22:41:55.443648682Z,,,01KCQ71RM9GM6KJBQ5C98XR56B,2025-12-17T22:31:48.620445741Z
01KCQ71RMNEM6FWY9M4NNT002S,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.62923842Z,30,2025-12-17T22:31:48.62923842Z,true,2025-12-17T22:42:55.707352149Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.62923842Z,0,2025-12-17T22:31:48.62923842Z,true,2025-12-17T22:42:25.682562534Z,choice,2025-12-17T22:31:48.62923842Z,01KCQ71RC730KDYTQWBXPTWKPB,2025-12-17T22:31:48.62923842Z,true,2025-12-17T22:42:25.590318944Z,true,2025-12-17T22:42:25.703546454Z,,,01KCQ71RMJHSCJY7K5SY387CC2,2025-12-17T22:31:48.62923842Z
01KCQ71RWP18E1XQM5N2MXWVQM,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.886149493Z,30,2025-12-17T22:31:48.886149493Z,true,2025-12-17T22:53:49.456304847Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.886149493Z,0,2025-12-17T22:31:48.886149493Z,true,2025-12-17T22:53:19.409259956Z,choice,2025-12-17T22:31:48.886149493Z,01KCQ71RCWE6DD2C95T78CS4P9,2025-12-17T22:31:48.886149493Z,true,2025-12-17T22:53:19.326132374Z,true,2025-12-17T22:53:19.447861231Z,,,01KCQ71RWK2F67ETAJ0YA1H8M8,2025-12-17T22:31:48.886149493Z
01KCQ71S00AGYNJR9ZJ2VRHT3W,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.992119209Z,30,2025-12-17T22:31:48.992119209Z,false,2025-12-17T22:31:48.992119209Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.992119209Z,0,2025-12-17T22:31:48.992119209Z,,,choice,2025-12-17T22:31:48.992119209Z,01KCQ71RCZH9EAJGJJZ9M6N7R5,2025-12-17T22:31:48.992119209Z,false,2025-12-17T22:31:48.992119209Z,,,,,01KCQ71RZVNTPVTRE5HPWC3WDC,2025-12-17T22:31:48.992119209Z
01KCQ71S1787QT9BYGN4RR2KX2,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:49.031650069Z,200,2025-12-17T22:31:49.031650069Z,false,2025-12-17T22:31:49.031650069Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:49.031650069Z,0,2025-12-17T22:31:49.031650069Z,,,Group-Allocation,2025-12-17T22:31:49.031650069Z,01KCQ71RD3ZQNE67J3ASDYFSV0,2025-12-17T22:31:49.031650069Z,false,2025-12-17T22:31:49.031650069Z,,,,,01KCQ71S15XQCYPNN62K6C3PSD,2025-12-17T22:31:49.031650069Z
01KCQ71RFYJEKKHVK92EGQA03Z,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.478696445Z,30,2025-12-17T22:31:48.478696445Z,true,2025-12-17T22:35:22.335383872Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.478696445Z,0,2025-12-17T22:31:48.478696445Z,true,2025-12-17T22:34:52.311679782Z,choice,2025-12-17T22:31:48.478696445Z,01KCQ71RC0HJECGKAQQXW44WVA,2025-12-17T22:31:48.478696445Z,true,2025-12-17T22:34:52.208657352Z,true,2025-12-17T22:34:52.328610737Z,,,01KCQ71RFVQ6AJ07SWJ3ZEKQ54,2025-12-17T22:31:48.478696445Z
01KCQ71RH3Z8K3ES116E4GKNSQ,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.515840806Z,30,2025-12-17T22:31:48.515840806Z,true,2025-12-17T22:37:23.073464725Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.515840806Z,0,2025-12-17T22:31:48.515840806Z,true,2025-12-17T22:36:53.038327934Z,choice,2025-12-17T22:31:48.515840806Z,01KCQ71RBX2X3BDZVGPWV28KQM,2025-12-17T22:31:48.515840806Z,true,2025-12-17T22:36:52.982097164Z,true,2025-12-17T22:36:53.068754717Z,,,01KCQ71RH053TSWGW4GVRW5XNK,2025-12-17T22:31:48.515840806Z
01KCQ71RWBZ4GDCARRWQDRWAHX,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.875284921Z,30,2025-12-17T22:31:48.875284921Z,true,2025-12-17T22:53:19.199456529Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.875284921Z,0,2025-12-17T22:31:48.875284921Z,true,2025-12-17T22:52:49.174385846Z,choice,2025-12-17T22:31:48.875284921Z,01KCQ71RCB08R7C01R9Z3MSNTX,2025-12-17T22:31:48.875284921Z,true,2025-12-17T22:52:49.070961552Z,true,2025-12-17T22:52:49.196475138Z,,,01KCQ71RW7MQP182B58XNW3JQ2,2025-12-17T22:31:48.875284921Z
