id,batchID,batchIDLastChangedAt,chatEnabled,chatEnabledLastChangedAt,ended,endedLastChangedAt,flag,flagLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,isTutorial,isTutorialLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01JW97A1XHX7ZAQZZZ6460ECAC,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.041666563Z,true,2025-05-27T15:55:49.041666563Z,true,2025-05-27T16:03:02.378171994Z,true,2025-05-27T15:55:49.041666563Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.041666563Z,15,2025-05-27T15:55:49.041666563Z,false,2025-05-27T15:55:49.041666563Z,Communication Round 14,2025-05-27T15:55:49.041666563Z,1,2025-05-27T15:55:49.260377613Z,true,2025-05-27T16:02:50.549287665Z
01JW97A1XK5JB9D0Q8SVDWE56D,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.043783818Z,true,2025-05-27T15:55:49.043783818Z,true,2025-05-27T16:05:16.761086471Z,true,2025-05-27T15:55:49.043783818Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.043783818Z,22,2025-05-27T15:55:49.043783818Z,false,2025-05-27T15:55:49.043783818Z,Communication Round 21,2025-05-27T15:55:49.043783818Z,1,2025-05-27T15:55:49.328274217Z,true,2025-05-27T16:04:53.899521715Z
01JW97A1XVABPBPW90B44QAVD9,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.051258084Z,true,2025-05-27T15:55:49.051258084Z,true,2025-05-27T16:11:45.520468652Z,true,2025-05-27T15:55:49.051258084Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.051258084Z,42,2025-05-27T15:55:49.051258084Z,false,2025-05-27T15:55:49.051258084Z,Communication Round 41,2025-05-27T15:55:49.051258084Z,1,2025-05-27T15:55:49.541537195Z,true,2025-05-27T16:11:33.589200865Z
01JW97A1XJ7ZT109G7T6PTSW4P,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.04255532Z,true,2025-05-27T15:55:49.04255532Z,true,2025-05-27T16:03:32.580267471Z,true,2025-05-27T15:55:49.04255532Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.04255532Z,16,2025-05-27T15:55:49.04255532Z,false,2025-05-27T15:55:49.04255532Z,Communication Round 15,2025-05-27T15:55:49.04255532Z,1,2025-05-27T15:55:49.269106293Z,true,2025-05-27T16:03:02.408179393Z
01JW97A1XM464SMTH0JV7T0M5E,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.044362726Z,true,2025-05-27T15:55:49.044362726Z,true,2025-05-27T16:04:15.205074983Z,true,2025-05-27T15:55:49.044362726Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.044362726Z,19,2025-05-27T15:55:49.044362726Z,false,2025-05-27T15:55:49.044362726Z,Communication Round 18,2025-05-27T15:55:49.044362726Z,1,2025-05-27T15:55:49.297578906Z,true,2025-05-27T16:03:54.645708494Z
01JW97A1XQ6X14745MCZ0BEMJQ,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.047419042Z,true,2025-05-27T15:55:49.047419042Z,true,2025-05-27T16:07:11.78047114Z,true,2025-05-27T15:55:49.047419042Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.047419042Z,29,2025-05-27T15:55:49.047419042Z,false,2025-05-27T15:55:49.047419042Z,Communication Round 28,2025-05-27T15:55:49.047419042Z,1,2025-05-27T15:55:49.409545659Z,true,2025-05-27T16:07:03.207083725Z
01JW97A1XXE3YJWM0F0VB0VZ1E,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.053724047Z,true,2025-05-27T15:55:49.053724047Z,true,2025-05-27T16:09:30.643505699Z,true,2025-05-27T15:55:49.053724047Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.053724047Z,36,2025-05-27T15:55:49.053724047Z,false,2025-05-27T15:55:49.053724047Z,Communication Round 35,2025-05-27T15:55:49.053724047Z,1,2025-05-27T15:55:49.480721519Z,true,2025-05-27T16:09:09.947911739Z
01JW97A1XDT3MWGGXG3JE8PN03,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.037323568Z,true,2025-05-27T15:55:49.037323568Z,true,2025-05-27T15:59:41.000043733Z,true,2025-05-27T15:55:49.037323568Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.037323568Z,6,2025-05-27T15:55:49.037323568Z,false,2025-05-27T15:55:49.037323568Z,Communication Round 5,2025-05-27T15:55:49.037323568Z,1,2025-05-27T15:55:49.180659441Z,true,2025-05-27T15:59:10.864112936Z
01JW97A1XW7TBSP76YK3Y9MJY4,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.052579098Z,true,2025-05-27T15:55:49.052579098Z,true,2025-05-27T16:13:04.324814349Z,true,2025-05-27T15:55:49.052579098Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.052579098Z,45,2025-05-27T15:55:49.052579098Z,false,2025-05-27T15:55:49.052579098Z,Communication Round 44,2025-05-27T15:55:49.052579098Z,1,2025-05-27T15:55:49.583756089Z,true,2025-05-27T16:12:41.296674702Z
01JW97A1XYBK941AA9CABYEZF4,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.054963206Z,true,2025-05-27T15:55:49.054963206Z,true,2025-05-27T16:13:59.211205287Z,true,2025-05-27T15:55:49.054963206Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.054963206Z,49,2025-05-27T15:55:49.054963206Z,false,2025-05-27T15:55:49.054963206Z,Communication Round 48,2025-05-27T15:55:49.054963206Z,1,2025-05-27T15:55:49.617608763Z,true,2025-05-27T16:13:49.201029288Z
01JW97A1XZYN8EZ7AA1H4CD272,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.055566082Z,true,2025-05-27T15:55:49.055566082Z,true,2025-05-27T16:14:38.764374597Z,true,2025-05-27T15:55:49.055566082Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.055566082Z,51,2025-05-27T15:55:49.055566082Z,false,2025-05-27T15:55:49.055566082Z,Communication Round 50,2025-05-27T15:55:49.055566082Z,1,2025-05-27T15:55:49.642749406Z,true,2025-05-27T16:14:13.52414646Z
