roundID,01KCPXYWW43PVTMG9XJ3XZCXKA,01KCPY047ZK869J5R8RWVJE2Z0,01KCPY20QCGA9NB263TN394XP6,01KCPXZSMG8SS874KBVCZ25T5W,01KCPY4G5PSR4GZVXYDMAG8SYF,01KCPY6KSCFSR04EWGHZWGW1VR,01KCPXZK6N8JT9VTZG3RX4M6AD,01KCPXZTS69VQB2RMCW0Y8MX7F,01KCPY3NEJSHMYDA6AVMBGXCTC,01KCPXYXA2EY5ZCFTPXEBTTE8G
01KCPY7F10VVTKBVPEX33J7F4X,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1152ZDK0QS27S3XQ02,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F17MV2FSHSDD6BNC9J1,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F12C23FEPJAMFGXVRRZ,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F12C23FEPJANNFCSKZS,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F13TMT10SPS3CDA5M0R,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F13TMT10SPS4EZPZB4F,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F0SNTCTY0PC231BJES2,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F14E7R4VM4YZRRE8VR0,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F15P1J8HFMXT1KFG074,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F15P1J8HFMXSMM6CYFW,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,The University of Western Australia,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F17MV2FSHSDEVGA1D10,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F18925DTF5402VCP49Y,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F14E7R4VM4Z0AV8SYS2,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F16FFBYADTQN0S7YYVA,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Southampton,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1FAE6VY3XZWBQSCQFX,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F17MV2FSHSDE51Y4Z4C,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1CGV0J66CR30B6085B,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1BWVA6WNYC82K9MVRT,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Southampton,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1BWVA6WNYC98DZ114N,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Sheffield,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1ACVWT0VQ0AS3T2ENM,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F15P1J8HFMXTN3N5JK7,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F16FFBYADTQNGXEMFBA,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1KPBT8QXA793RCKSAA,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1FAE6VY3XZWZHXYTSY,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1JDRKVR6BNMR45ECD2,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1JDRKVR6BNKDMD228B,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,University of Glasgow,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1HCZD15SKK0PZES5S5,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1DE0V19SMWZXFHHCPJ,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,University of Glasgow,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1EJQBG95MNWXNF4X5X,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1JDRKVR6BNM5D5D66E,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1HCZD15SKK191F63X9,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F17MV2FSHSDFHB03DA7,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F190XFCT173VYCVVH0X,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,University of Glasgow,University of Leeds,University of Leeds,University of Leeds
01KCPY7F190XFCT173WJ65SWQT,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F190XFCT173VB7YZZ2K,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1ACVWT0VQ0ABB1WZ56,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1CGV0J66CR3J3GCKF4,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1BWVA6WNYC8RQZSPB0,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1EJQBG95MNXGQPFQKF,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Leeds
01KCPY7F1DE0V19SMX0ER3V79M,,,,,,,,,,
