roundID,01KCQ0VNHJNDD1DM332PQS33ER,01KCQ0SQPT90ZRPBZRC76QVSZN,01KCQ0VS2FQM44KAX4VK9ZT7HJ,01KCQ0ZEW9S1JHKNF7B6DNMFK3,01KCQ0XAFJYC8BQFAYEW0APHVD,01KCQ0V3MC3YSJT2RSTCWJA9X0,01KCQ0TX8GAA6G0Z23ZBHQ4FHR,01KCQ0T9WP9Z5RDG9P0GG8PHGP,01KCQ0SJXZH7J91G11Z6GPS08P,01KCQ0TGQP6RBAVEYJGP0ZTGMR
01KCQ112P50XJR6JEH2Y9ANWNS,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Adelaide,University of Nottingham,University of Leeds,University of Nottingham,University of Leeds
01KCQ112P6A22EFWSDTJ2051SW,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham,University of Leeds,University of Nottingham,University of Leeds
01KCQ112P6A22EFWSDV9DQ3WWH,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham
01KCQ112P8HA6BAQ7DQB17BQPZ,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham
01KCQ112P9QRTF4W85Q7K20YGW,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds
01KCQ112PATK1RS9TGC2HYQ82V,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds
01KCQ112P3B6NDDDED0GW2VVGD,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds
01KCQ112PBRE3V3EEYVK3P2E4A,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds
01KCQ112PD1GWVZ4SENT90EYKS,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PD1GWVZ4SEPJP6AEEM,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PEF538ZQVKPG4QGBP1,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PGV7TCT3YC8JA2VSA4,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PH9Z9R2ZQY6W6XD5YE,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PJFGVX54H4N68BAJ8S,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PJFGVX54H4P108XXTD,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PJFGVX54H4PQKA591D,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PKABSR37DPZC0KPHRQ,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PNAMDY51AWKD5NTC11,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PPS3S2J3AXYC0DQ7S9,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PNAMDY51AWKTJ24GE8,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PPS3S2J3AXXW122B17,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PQWH2XCV8C9H8BQ712,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Adelaide,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PQWH2XCV8CA553DD9C,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PQWH2XCV8CARF4F8MG,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PRBKXFDSRW37V32YBZ,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Adelaide,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PRBKXFDSRW40FD782C,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Sheffield,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PS4C8RNYNS91VWBF43,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PS4C8RNYNS7YXZJ6CF,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Sheffield,University of Sheffield,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112Q1RXK3DXFCRWCNZBN4,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112Q20N1Y4X4PPKAQY7NK,University of Leeds,University of Leeds,University of Adelaide,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PRBKXFDSRW4SR31Z7D,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PWH1RNF5RXXS5CQS9K,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112Q1RXK3DXFCR9WNKYGX,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ112PVPWA0TKEH86588NHH,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham,University of Leeds,University of Leeds,University of Leeds
01KCQ112PY4QD66K7R816J5PDF,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds
01KCQ112PTYR42EDE2XTG8GWZQ,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds
01KCQ112PS4C8RNYNS8H5JRF2Q,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds
01KCQ112PXSZ6CT5GEARHJE9CY,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Leeds
01KCQ112PTYR42EDE2X7XAT50J,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham,University of Leeds,University of Leeds,
01KCQ112PTYR42EDE2WPM378PD,University of Leeds,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham,University of Leeds,University of Leeds,
01KCQ112Q0FJ9P1VZMVP5AXAC0,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Adelaide,University of Nottingham,University of Leeds,University of Leeds,
01KCQ112Q0FJ9P1VZMWCBYNMTW,,,,,,,,,,
