id,batchID,batchIDLastChangedAt,chatEnabled,chatEnabledLastChangedAt,ended,endedLastChangedAt,flag,flagLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,isTutorial,isTutorialLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KCN4Q43VBQ575907WJJXB6W0,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.915118947Z,false,2025-12-17T03:12:33.915118947Z,true,2025-12-17T03:25:09.779252966Z,true,2025-12-17T03:12:33.915118947Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.915118947Z,45,2025-12-17T03:12:33.915118947Z,false,2025-12-17T03:12:33.915118947Z,Non-Communication Round 44,2025-12-17T03:12:33.915118947Z,1,2025-12-17T03:12:34.477357256Z,true,2025-12-17T03:25:01.327257521Z
01KCN4Q43PVJGJGH51V7ZCRE0R,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.910408683Z,false,2025-12-17T03:12:33.910408683Z,true,2025-12-17T03:21:47.653707467Z,true,2025-12-17T03:12:33.910408683Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.910408683Z,29,2025-12-17T03:12:33.910408683Z,false,2025-12-17T03:12:33.910408683Z,Non-Communication Round 28,2025-12-17T03:12:33.910408683Z,1,2025-12-17T03:12:34.283957919Z,true,2025-12-17T03:21:28.980724833Z
01KCN4Q43QCB0YET2X2EQMCQZG,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.911097953Z,false,2025-12-17T03:12:33.911097953Z,true,2025-12-17T03:23:02.174126653Z,true,2025-12-17T03:12:33.911097953Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.911097953Z,35,2025-12-17T03:12:33.911097953Z,false,2025-12-17T03:12:33.911097953Z,Non-Communication Round 34,2025-12-17T03:12:33.911097953Z,1,2025-12-17T03:12:34.353979Z,true,2025-12-17T03:22:44.504074537Z
01KCN4Q431JTZ20QTK7PXEWFNQ,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.889543076Z,false,2025-12-17T03:12:33.889543076Z,true,2025-12-17T03:17:59.505255447Z,true,2025-12-17T03:12:33.889543076Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.889543076Z,16,2025-12-17T03:12:33.889543076Z,false,2025-12-17T03:12:33.889543076Z,Non-Communication Round 15,2025-12-17T03:12:33.889543076Z,1,2025-12-17T03:12:34.145687344Z,true,2025-12-17T03:17:41.954867839Z
01KCN4Q438EYWGRYW1T4X5ZQ5P,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.896125149Z,false,2025-12-17T03:12:33.896125149Z,true,2025-12-17T03:20:32.403864217Z,true,2025-12-17T03:12:33.896125149Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.896125149Z,24,2025-12-17T03:12:33.896125149Z,false,2025-12-17T03:12:33.896125149Z,Non-Communication Round 23,2025-12-17T03:12:33.896125149Z,1,2025-12-17T03:12:34.22898194Z,true,2025-12-17T03:20:12.178376641Z
01KCN4Q43RDAWDQ4N2Z1GYY3FY,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.912970581Z,false,2025-12-17T03:12:33.912970581Z,true,2025-12-17T03:24:01.830615475Z,true,2025-12-17T03:12:33.912970581Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.912970581Z,39,2025-12-17T03:12:33.912970581Z,false,2025-12-17T03:12:33.912970581Z,Non-Communication Round 38,2025-12-17T03:12:33.912970581Z,1,2025-12-17T03:12:34.396646753Z,true,2025-12-17T03:23:42.480804109Z
01KCN4Q44659F1J0PJFKXM9EA3,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.926741926Z,false,2025-12-17T03:12:33.926741926Z,true,2025-12-17T03:26:21.595856121Z,true,2025-12-17T03:12:33.926741926Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.926741926Z,51,2025-12-17T03:12:33.926741926Z,false,2025-12-17T03:12:33.926741926Z,Non-Communication Round 50,2025-12-17T03:12:33.926741926Z,1,2025-12-17T03:12:34.539905302Z,true,2025-12-17T03:26:09.943986112Z
01KCN4Q42E902HW96VQXS6PBJN,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.870194896Z,false,2025-12-17T03:12:33.870194896Z,true,2025-12-17T03:14:36.735880558Z,true,2025-12-17T03:12:33.870194896Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.870194896Z,1,2025-12-17T03:12:33.870194896Z,true,2025-12-17T03:12:33.870194896Z,Tutorial Round,2025-12-17T03:12:33.870194896Z,1,2025-12-17T03:12:33.99043263Z,true,2025-12-17T03:13:36.582994788Z
01KCN4Q432MRA2MMZQ1X310TXA,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.890593842Z,false,2025-12-17T03:12:33.890593842Z,true,2025-12-17T03:18:13.7751854Z,true,2025-12-17T03:12:33.890593842Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.890593842Z,17,2025-12-17T03:12:33.890593842Z,false,2025-12-17T03:12:33.890593842Z,Non-Communication Round 16,2025-12-17T03:12:33.890593842Z,1,2025-12-17T03:12:34.154569033Z,true,2025-12-17T03:17:59.552093865Z
01KCN4Q43J8G6ZBGE212MDVSXM,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.906617152Z,false,2025-12-17T03:12:33.906617152Z,true,2025-12-17T03:21:01.465116273Z,true,2025-12-17T03:12:33.906617152Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.906617152Z,26,2025-12-17T03:12:33.906617152Z,false,2025-12-17T03:12:33.906617152Z,Non-Communication Round 25,2025-12-17T03:12:33.906617152Z,1,2025-12-17T03:12:34.251558491Z,true,2025-12-17T03:20:50.480078436Z
