participant_id,round,arm,choice,reward,own_success,own_failure,group_success,group_failure,prev_choice,prev_reward,condition
01JVWAAGYJKN322FY871XFT4P5,10,0,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,1,9,1.0,0,0,2,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,2,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,3,9,1.0,2,1,10,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,4,9,1.0,1,0,3,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,5,9,1.0,0,0,1,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,6,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,7,9,1.0,0,1,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,8,9,1.0,0,0,4,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,10,9,9,1.0,4,0,62,2,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,0,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,1,9,1.0,0,0,2,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,2,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,3,9,1.0,2,1,10,2,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,4,9,1.0,1,0,4,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,5,9,1.0,0,0,1,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,6,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,7,9,1.0,0,1,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,8,9,1.0,0,0,4,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,11,9,9,1.0,5,0,70,2,9,1.0,asocial
