roundID,01KCSFSH23242ASVGMAF78JQXB,01KCSFM1YDV9TVAYM6Z6BSVTBT,01KCSFPV932HCDRDQC3HVXA9SG,01KCSG0TJ4H7DFDP5HGZ1RN2YY,01KCSFQ50W09TP10JVBSM7VCM7,01KCSFQBSFQ1E59QCTW44CQJTQ,01KCSFT4HH4KK21P57ZHZVGJ9N,01KCSFZ8B7YV42TPJY3NGD4BZB,01KCSFR7QDNAS9EBKZKAH8HT9K,01KCSFSX1C0NDKHYDK91AH388B
01KCSG2GTSDYXYSFBTQDNMQDTJ,University of Leeds,Trinity College Dublin,University of Glasgow,University of Glasgow,University of Adelaide,University of Nottingham,University of Glasgow,University of Sheffield,Karlsruhe Institute of Technology,University of Leeds
01KCSG2GTRMJH9G4T26ZWE7XXG,University of Leeds,Trinity College Dublin,University of Glasgow,University of Southampton,The University of Western Australia,University of Leeds,University of Glasgow,Trinity College Dublin,Heidelberg University,University of Sheffield
01KCSG2GTVF546E5YRN4PW65AZ,University of Leeds,Trinity College Dublin,University of Glasgow,University of Southampton,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Leeds,Heidelberg University,University of Nottingham
01KCSG2GTT7MEWYXJSQ79QKN9D,University of Leeds,Trinity College Dublin,University of Glasgow,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Glasgow,University of Leeds,Karlsruhe Institute of Technology,Trinity College Dublin
01KCSG2GTRMJH9G4T27QR563B3,University of Leeds,Trinity College Dublin,University of Glasgow,University of Leeds,University of Nottingham,University of Leeds,University of Glasgow,University of Leeds,The University of Western Australia,The University of Western Australia
01KCSG2GTSDYXYSFBTR3QYADAX,University of Leeds,University of Leeds,University of Glasgow,The University of Western Australia,Karlsruhe Institute of Technology,University of Leeds,University of Glasgow,Trinity College Dublin,Heidelberg University,University of Adelaide
01KCSG2GTRMJH9G4T28BNT1J67,University of Leeds,University of Leeds,University of Glasgow,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Glasgow,Trinity College Dublin,University of Leeds,University of Sheffield
01KCSG2GTP6MRVEYSTF17Q49PN,University of Leeds,University of Leeds,University of Glasgow,University of Leeds,Trinity College Dublin,University of Leeds,University of Glasgow,University of Leeds,Trinity College Dublin,University of Nottingham
01KCSG2GTKKYJKN21Y7K9FG55C,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Glasgow,Trinity College Dublin,University of Glasgow,Trinity College Dublin
01KCSG2GTQ9EZ0064KYHEC63NM,University of Leeds,University of Leeds,University of Glasgow,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Leeds,University of Adelaide,The University of Western Australia
01KCSG2GTP6MRVEYSTEDHKYQHZ,University of Leeds,University of Leeds,University of Glasgow,University of Sheffield,University of Glasgow,Trinity College Dublin,University of Glasgow,Trinity College Dublin,University of Nottingham,University of Glasgow
01KCSG2GTEEPJ9QZW549AEX7P3,University of Leeds,University of Leeds,University of Glasgow,University of Leeds,University of Adelaide,Trinity College Dublin,University of Glasgow,University of Leeds,University of Sheffield,University of Adelaide
01KCSG2GTMCSVR65DDQHXSVMJ6,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Glasgow,Trinity College Dublin,University of Adelaide,University of Sheffield
01KCSG2GTJCQVH29XYTG3XX27H,University of Leeds,University of Leeds,University of Glasgow,University of Glasgow,University of Southampton,Trinity College Dublin,University of Glasgow,University of Leeds,University of Leeds,University of Sheffield
01KCSG2GTKKYJKN21Y8A6M0G62,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin,University of Sheffield,University of Leeds,University of Glasgow,University of Leeds,Trinity College Dublin,University of Sheffield
