id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01KCSG8CB7RVM4WG5FRPJGJG3D,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:51:11.463054012Z,University of Glasgow,2025-12-18T19:51:13.793050798Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:51:11.463054012Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:51:11.463054012Z,01KCSG2GTRMJH9G4T26ZWE7XXG,2025-12-18T19:51:11.463054012Z,1,2025-12-18T19:51:13.792153648Z
01KCSGJ40P3DDD24JB3236AKXH,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:56:30.615298639Z,University of Glasgow,2025-12-18T19:56:32.492613596Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:56:30.615298639Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:56:30.615298639Z,01KCSG2GTAS9SX2M0E12YG46CD,2025-12-18T19:56:30.615298639Z,1,2025-12-18T19:56:32.494364094Z
01KCSGMCGZMM3Q68WG9R7GV12E,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:57:44.863474244Z,University of Glasgow,2025-12-18T19:57:46.65905548Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:57:44.863474244Z,01KCSFT4HH4KK21P57ZHZVGJ9N,2025-12-18T19:57:44.863474244Z,01KCSG2GTNHB3BZ7TX2RCZ7ES4,2025-12-18T19:57:44.863474244Z,1,2025-12-18T19:57:46.646020045Z
01KCSGMCH1MST84ZWBP8H1EM6G,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:57:44.86511531Z,Trinity College Dublin,2025-12-18T19:57:47.707062776Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:57:44.86511531Z,01KCSG0TJ4H7DFDP5HGZ1RN2YY,2025-12-18T19:57:44.86511531Z,01KCSG2GTNHB3BZ7TX2RCZ7ES4,2025-12-18T19:57:44.86511531Z,1,2025-12-18T19:57:47.708505778Z
01KCSGMX0ZS9F44Y9R15DDHWAQ,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:58:01.759165951Z,University of Leeds,2025-12-18T19:58:08.940026042Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:58:01.759165951Z,01KCSFM1YDV9TVAYM6Z6BSVTBT,2025-12-18T19:58:01.759165951Z,01KCSG2GT9YDQ17EFGVS3KVG0Q,2025-12-18T19:58:01.759165951Z,1,2025-12-18T19:58:08.946031769Z
01KCSGN8P267DJY2S8A72T92QV,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:58:13.698628471Z,Trinity College Dublin,2025-12-18T19:58:18.509361782Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:58:13.698628471Z,01KCSFSX1C0NDKHYDK91AH388B,2025-12-18T19:58:13.698628471Z,01KCSG2GT6X6A1RKR22STHCM7K,2025-12-18T19:58:13.698628471Z,1,2025-12-18T19:58:18.507548209Z
01KCSGPCTKF1DNYWTH0K3QM48Z,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:58:50.707726629Z,University of Glasgow,2025-12-18T19:58:53.9573005Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:58:50.707726629Z,01KCSG0TJ4H7DFDP5HGZ1RN2YY,2025-12-18T19:58:50.707726629Z,01KCSG2GTDHF4WPPNDKYVSV875,2025-12-18T19:58:50.707726629Z,1,2025-12-18T19:58:53.958958814Z
01KCSGJHMYXD0YGHRGRA0ZW2MQ,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:56:44.574443162Z,University of Glasgow,2025-12-18T19:56:46.491025893Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:56:44.574443162Z,01KCSFT4HH4KK21P57ZHZVGJ9N,2025-12-18T19:56:44.574443162Z,01KCSG2GT9YDQ17EFGX54H8PPW,2025-12-18T19:56:44.574443162Z,1,2025-12-18T19:56:46.493939746Z
01KCSGJRPD4AFFZPZYRWMSJ44E,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:56:51.789835874Z,University of Glasgow,2025-12-18T19:56:55.554314411Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:56:51.789835874Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:56:51.789835874Z,01KCSG2GT7VCM5ANNESAW7AXEA,2025-12-18T19:56:51.789835874Z,1,2025-12-18T19:56:55.552529792Z
01KCSGKCYNFW12P3VWY4N0J25R,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:57:12.533251449Z,University of Glasgow,2025-12-18T19:57:19.557685068Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:57:12.533251449Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:57:12.533251449Z,01KCSG2GSXWAG3JRXJ26DQDS5E,2025-12-18T19:57:12.533251449Z,1,2025-12-18T19:57:19.55429893Z
